City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,lae,-6.7221,146.9847,24.0,84,100,2.23,PG,1698686336
328,san antonio de pale,-1.4014,5.6325,26.56,84,95,5.69,GQ,1698686743
329,villa gesell,-37.2639,-56.973,16.14,53,87,8.58,AR,1698686458
330,nadym,65.5333,72.5167,-12.95,95,9,2.83,RU,1698686381
331,kapuskasing,49.4169,-82.4331,-1.95,74,75,3.6,CA,1698686573
332,xinzhou,38.4092,112.7333,13.51,33,0,0.94,CN,1698686744
333,karratha,-20.7377,116.8463,27.08,60,85,4.57,AU,1698686609
334,oranjestad,12.524,-70.027,31.62,76,40,2.57,AW,1698686744
335,cidreira,-30.1811,-50.2056,20.46,92,100,5.79,BR,1698686171
336,salinopolis,-0.6136,-47.3561,30.16,62,11,4.87,BR,1698686745
337,ramnagar,29.4,79.1167,19.27,59,13,2.31,IN,1698686745
338,el playon,7.4713,-73.2031,29.15,87,100,1.6,CO,1698686745
339,saint-philippe,-21.3585,55.7679,24.77,82,49,4.27,RE,1698686745
340,kindu,-2.95,25.95,23.81,86,86,1.57,CD,1698686369
341,banjar,-8.19,114.9675,24.58,88,47,1.21,ID,1698686746
342,hadibu,12.65,54.0333,27.0,76,92,3.94,YE,1698686607
343,port douglas,-16.4833,145.4667,22.32,72,59,4.44,AU,1698686611
344,san felice circeo,41.2372,13.0942,25.09,74,96,3.58,IT,1698686747
345,sorong,-0.8833,131.25,26.14,83,28,1.35,ID,1698686316
346,qarqaraly,49.4058,75.4742,7.56,82,100,6.27,KZ,1698686356
347,castillos,-34.1667,-53.8333,14.38,80,100,6.65,UY,1698686602
348,mutuali,-14.8706,37.0044,27.96,46,82,4.61,MZ,1698686747
349,hue,16.4667,107.6,26.06,94,75,2.57,VN,1698686707
350,sakchu-up,40.3894,125.0467,13.07,88,63,2.28,KP,1698686748
351,chust,41.0094,71.2287,16.66,35,100,1.21,UZ,1698686748
352,vereshchagino,58.0789,54.6557,-5.87,99,92,1.87,RU,1698686748
353,urangan,-25.3,152.9,21.12,70,13,5.94,AU,1698686207
354,bairnsdale,-37.8333,147.6167,8.36,97,71,1.34,AU,1698686749
355,angaur state,6.906,134.13,27.98,76,17,2.72,PW,1698686749
356,baoqing,46.3317,132.2111,3.08,75,5,2.11,CN,1698686749
357,bayanhongor,46.7167,100.1167,-3.08,74,51,1.32,MN,1698686749
358,kirensk,57.7853,108.1119,-7.24,62,98,1.34,RU,1698686750
359,dakhla,23.6848,-15.958,23.01,78,0,5.66,EH,1698686690
360,fada,9.5667,8.3,25.12,51,79,1.61,NG,1698686346
361,xining,36.6167,101.7667,7.9,36,47,0.74,CN,1698686751
362,borongan,11.6333,125.4333,25.67,87,100,3.14,PH,1698686751
